"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"Wolf_Sheep_Predation_simpler_changed.nlogox"
"experiment_100_100"
"08/14/2026 13:02:43:785 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","wolf-reproduce","sheep-reproduce","grass-regrowth-time","[step]","land_with_grass","count sheep","count wolves"
"285","8","4","250","1500","22.33756247597078","18","0"
"282","8","4","225","1500","63.437139561707035","23","0"
"286","8","6","150","1500","24.913494809688583","48","0"
"288","8","6","150","1500","41.33025759323337","24","0"
"287","8","6","150","1500","41.906958861976165","46","0"
"292","8","6","200","141","47.520184544406","0","0"
"294","8","6","200","135","53.01806997308727","0","0"
"295","8","6","225","157","53.09496347558631","0","0"
"296","8","6","225","119","48.40445982314495","0","0"
"289","8","6","175","1500","28.83506343713956","42","0"
"298","8","6","250","197","55.78623606305267","0","0"
"290","8","6","175","1500","69.24259900038447","29","0"
"299","8","6","250","147","48.17377931564783","0","0"
"300","8","6","250","195","53.24875048058439","0","0"
"291","8","6","175","1162","32.44905805459439","0","0"
"297","8","6","225","961","35.4479046520569","0","0"
"303","8","8","150","380","47.90465205690119","0","0"
"301","8","8","150","656","46.21299500192234","0","0"
"307","8","8","200","149","49.78854286812764","0","0"
"293","8","6","200","1500","48.212226066897344","19","0"
"302","8","8","150","810","54.01768550557478","0","0"
"309","8","8","200","150","54.44059976931949","0","0"
"308","8","8","200","219","77.12418300653594","0","0"
"312","8","8","225","105","43.3679354094579","0","0"
"313","8","8","250","110","43.67550941945406","0","0"
"314","8","8","250","148","46.78969627066513","0","0"
"315","8","8","250","549","44.559784698193006","0","0"
"305","8","8","175","1500","24.99038831218762","18","0"
"306","8","8","175","1500","36.10149942329873","32","0"
"316","8","10","150","355","29.64244521337947","0","0"
"304","8","8","175","1500","48.212226066897344","44","0"
"310","8","8","225","1500","22.875816993464053","21","0"
"311","8","8","225","1500","72.51057285659361","3","0"
"317","8","10","150","379","16.724336793540946","0","0"
"321","8","10","175","107","47.097270280661284","0","0"
"324","8","10","200","139","47.05882352941177","0","0"
"325","8","10","225","136","45.98231449442522","0","0"
"322","8","10","200","434","17.224144559784698","0","0"
"323","8","10","200","459","15.109573241061131","0","0"
"319","8","10","175","739","22.22222222222222","0","0"
"327","8","10","225","116","43.40638216070742","0","0"
"328","8","10","250","132","45.9438677431757","0","0"
"329","8","10","250","78","38.75432525951557","0","0"
"330","8","10","250","159","47.94309880815071","0","0"
"332","8","12","150","152","59.16955017301038","0","0"
"326","8","10","225","521","21.491733948481354","0","0"
"334","8","12","175","125","52.24913494809689","0","0"
"331","8","12","150","604","35.217224144559786","0","0"
"318","8","10","150","1500","52.518262206843524","48","0"
"333","8","12","150","591","36.024605920799694","0","0"
"339","8","12","200","132","47.94309880815071","0","0"
"320","8","10","175","1308","27.797001153402537","0","0"
"340","8","12","225","495","14.148404459823144","0","0"
"342","8","12","225","97","42.32987312572088","0","0"
"343","8","12","250","114","39.10034602076124","0","0"
"344","8","12","250","129","43.67550941945406","0","0"
"341","8","12","225","445","11.80315263360246","0","0"
"338","8","12","200","1022","21.876201460976546","0","0"
"345","8","12","250","81","35.947712418300654","0","0"
"336","8","12","175","1500","36.639753940792005","48","0"
"335","8","12","175","1500","23.60630526720492","31","0"
"348","8","14","150","90","47.481737793156476","0","0"
"346","8","14","150","120","46.21299500192234","0","0"
"349","8","14","175","163","57.554786620530564","0","0"
"350","8","14","175","167","55.86312956555171","0","0"
"352","8","14","200","100","38.17762399077278","0","0"
"347","8","14","150","326","19.261822376009228","0","0"
"337","8","12","200","1500","62.05305651672434","41","0"
"354","8","14","200","153","48.48135332564398","0","0"
"353","8","14","200","210","73.97154940407536","0","0"
"355","8","14","225","141","40.17685505574779","0","0"
"357","8","14","225","109","41.061130334486734","0","0"
"356","8","14","225","127","40.5997693194925","0","0"
"358","8","14","250","90","42.63744713571703","0","0"
"359","8","14","250","136","46.40522875816993","0","0"
"360","8","14","250","77","38.79277201076509","0","0"
"364","8","16","175","120","43.29104190695886","0","0"
"351","8","14","175","632","21.030372933487122","0","0"
"365","8","16","175","106","36.75509419454056","0","0"
"362","8","16","150","286","20.069204152249135","0","0"
"366","8","16","175","131","43.3679354094579","0","0"
"367","8","16","200","153","53.748558246828146","0","0"
"369","8","16","200","84","40.330642060745866","0","0"
"368","8","16","200","130","46.943483275663205","0","0"
"370","8","16","225","124","44.17531718569781","0","0"
"372","8","16","225","92","43.82929642445213","0","0"
"371","8","16","225","118","39.21568627450981","0","0"
"374","8","16","250","126","40.86889657823914","0","0"
"376","8","18","150","73","36.8319876970396","0","0"
"375","8","16","250","76","36.94732795078816","0","0"
